id,name,lat,lon
E01011569,Leeds 004A,53.9011062393512,-1.66304018062156
E01011570,Leeds 007A,53.8977129582359,-1.63275957157075
E01011571,Leeds 004B,53.8986738543766,-1.70117043718916
E01011572,Leeds 004C,53.9040546784689,-1.6805142647265
E01011573,Leeds 004D,53.9012357586735,-1.72242268841658
E01011574,Leeds 004E,53.9033447900089,-1.69751564224792
E01011576,Leeds 007C,53.8959451437034,-1.59075485875395
E01011578,Leeds 011D,53.8674423366279,-1.6711377769197
E01011579,Leeds 014C,53.8566697552301,-1.67743159822586
E01011580,Leeds 014D,53.8564273448454,-1.6659046229596
E01011581,Leeds 003A,53.9130269434578,-1.70087875602165
E01011582,Leeds 003B,53.9093328733603,-1.71259557670539
E01011583,Leeds 003C,53.9142876500743,-1.69537239397638
E01011584,Leeds 003D,53.9105350585884,-1.69088714432426
E01011585,Leeds 062A,53.8002093895362,-1.67251710592494
E01011586,Leeds 066A,53.7977492059795,-1.69814949382523
E01011587,Leeds 062B,53.802924295134,-1.66543979717855
E01011588,Leeds 039A,53.8211846585169,-1.67846343119806
E01011589,Leeds 039B,53.8329139806521,-1.67892802079105
E01011590,Leeds 039C,53.8234746752047,-1.69837946397038
E01011591,Leeds 052D,53.8226962256532,-1.65682295778427
E01011592,Leeds 039D,53.8153657174787,-1.67426334642
E01011593,Leeds 039E,53.817284581616,-1.66532610878437
E01011594,Leeds 062C,53.8111652177674,-1.6787280442501
E01011595,Leeds 066B,53.8080284350814,-1.68793895507307
E01011596,Leeds 062D,53.808782353316,-1.66655968391455
E01011597,Leeds 066C,53.8035208114357,-1.69701100186683
E01011598,Leeds 062E,53.8087203152683,-1.67266241512517
E01011599,Leeds 066D,53.8042277474514,-1.6807218156356
E01011600,Leeds 079A,53.79228092992,-1.65689601357608
E01011601,Leeds 079B,53.7869301072126,-1.64749037551148
E01011602,Leeds 076A,53.7941927158829,-1.67175101143284
E01011603,Leeds 076B,53.7857244325151,-1.67028764098845
E01011604,Leeds 079C,53.7903680047937,-1.66328752018562
E01011605,Leeds 076C,53.7908509642832,-1.68080493050984
E01011606,Leeds 076D,53.7903845162476,-1.69788074393687
E01011607,Leeds 079D,53.7864637673727,-1.65946057057382
E01011608,Leeds 068A,53.8008237513693,-1.63502542152953
E01011609,Leeds 068B,53.80199836488,-1.64853542284686
E01011610,Leeds 068C,53.8000967843784,-1.65559172691395
E01011611,Leeds 068D,53.7996965106425,-1.64227852971733
E01011612,Leeds 079E,53.7965362015651,-1.66200658406991
E01011613,Leeds 076E,53.7960360231659,-1.68528841188318
E01011614,Leeds 068E,53.7958718565442,-1.64730035816688
E01011615,Leeds 070A,53.797418263773,-1.50381740841787
E01011616,Leeds 072A,53.7971290556541,-1.47889477987157
E01011617,Leeds 070B,53.7989437908172,-1.49707781992218
E01011618,Leeds 070C,53.7967123222965,-1.50939953526962
E01011620,Leeds 072B,53.7925212793702,-1.47700299593411
E01011621,Leeds 070D,53.7858317800572,-1.4983205368942
E01011622,Leeds 072C,53.7973487661967,-1.48905181909521
E01011623,Leeds 075B,53.795421367727,-1.51387299049957
