id,name,lon,lat,jobs
E01005262,Manchester 044B,-2.29286,53.41145,75
E01005263,Manchester 046A,-2.24996,53.40337,700
E01005264,Manchester 044C,-2.27383,53.41148,200
E01005265,Manchester 044D,-2.27871,53.4094,250
E01005266,Manchester 044E,-2.28465,53.41329,175
E01005267,Manchester 046B,-2.26687,53.4147,175
E01005268,Manchester 046C,-2.25653,53.40775,1000
E01005269,Manchester 046D,-2.26217,53.40156,1750
E01005270,Manchester 035A,-2.23724,53.43718,40
E01005271,Manchester 032C,-2.22367,53.43922,700
E01005272,Manchester 035B,-2.24609,53.43532,125
E01005273,Manchester 035C,-2.22865,53.43634,175
E01005274,Manchester 038A,-2.236,53.43291,700
E01005275,Manchester 038B,-2.23751,53.42954,200
E01005276,Manchester 038C,-2.23135,53.43037,400
E01005277,Manchester 038D,-2.23253,53.42603,4000
E01005278,Manchester 035D,-2.2317,53.43968,75
E01005279,Manchester 035E,-2.25525,53.43772,450
E01005280,Manchester 026A,-2.20629,53.44696,300
E01005281,Manchester 026B,-2.21464,53.44897,500
E01005284,Manchester 026C,-2.22108,53.45583,700
E01005285,Manchester 025D,-2.22778,53.45366,50
E01005286,Manchester 026D,-2.21593,53.45293,500
E01005287,Manchester 026E,-2.20694,53.45235,150
E01005288,Manchester 025E,-2.22561,53.45286,1250
E01005289,Manchester 049D,-2.25387,53.38675,175
E01005290,Manchester 052A,-2.24809,53.38511,300
E01005291,Manchester 050E,-2.25524,53.38149,2000
E01005292,Manchester 052B,-2.24564,53.38055,175
E01005293,Manchester 052C,-2.25646,53.37753,25
E01005294,Manchester 052D,-2.24548,53.37502,75
E01005295,Manchester 049E,-2.253,53.39372,4000
E01005296,Manchester 029E,-2.2741,53.44883,125
E01005297,Manchester 028A,-2.25975,53.44742,250
E01005298,Manchester 028B,-2.26881,53.44976,150
E01005299,Manchester 029F,-2.26737,53.44555,100
E01005300,Manchester 033D,-2.26208,53.44179,150
E01005301,Manchester 033E,-2.26686,53.44131,350
E01005302,Manchester 028C,-2.26338,53.45353,250
E01005304,Manchester 040B,-2.22404,53.43406,225
E01005305,Manchester 036A,-2.21504,53.43236,50
E01005306,Manchester 040C,-2.22527,53.42364,125
E01005307,Manchester 040D,-2.22433,53.42905,400
E01005308,Manchester 040E,-2.22095,53.4253,125
E01005309,Manchester 036B,-2.21915,53.43895,400
E01005310,Manchester 036C,-2.21051,53.43894,20
E01005311,Manchester 036D,-2.21071,53.43595,300
E01005312,Manchester 036E,-2.21589,53.43705,40
E01005313,Manchester 053A,-2.26262,53.37637,10
E01005314,Manchester 053B,-2.26321,53.37302,350
E01005315,Manchester 053C,-2.27317,53.37333,450
E01005316,Manchester 053D,-2.28622,53.36082,26000
E01005317,Manchester 052E,-2.25168,53.36766,7000
E01005318,Manchester 053E,-2.26393,53.36795,3500
E01005319,Manchester 051E,-2.27621,53.37899,50
E01005320,Oldham 024A,-2.1068,53.53101,450
E01005321,Oldham 022A,-2.0977,53.53082,450
E01005322,Oldham 029A,-2.10742,53.52659,2250
E01005323,Oldham 029B,-2.10757,53.52007,50
E01005324,Oldham 029C,-2.0998,53.5201,250
E01005325,Oldham 029D,-2.09921,53.52442,100
E01005326,Oldham 022B,-2.10413,53.53608,400
E01005327,Oldham 017A,-2.14946,53.54207,450
E01005328,Oldham 017B,-2.14033,53.54171,1500
E01005329,Oldham 015A,-2.16641,53.54431,125
E01005330,Oldham 015B,-2.1628,53.5384,5000
E01005331,Oldham 017C,-2.14353,53.53767,75
E01005332,Oldham 028A,-2.14918,53.53225,1250
E01005333,Oldham 015C,-2.16634,53.54883,250
