LSOA21CD,LSOA21NM,city,origin_bng_e,origin_bng_n,population_mid_2022,population_per_km2,imd_score,imd_decile,census2021_no_car_household_pct,distance_to_city_centre_km,active_bus_stops,bus_stops_per_km2,scheduled_stop_calls_core_06_22,calls_per_active_stop_per_hour_core_06_22,unique_lines_core_06_22,nearest_any_core_bus_network_m,nearest_hf_bus_network_m,within_400m_any_core_bus,within_400m_hf_bus,reachable_graph_snap_offset_any_m,reachable_graph_snap_offset_hf_m,walk_distance_repair_flag
E01011346,Leeds 060D,Leeds,433959.4673580632,434588.58481695165,1898,2814.7926691231937,40.44,2,41.035353535353536,4.182142052551718,17,25.211525487404792,1108,4.073529411764706,12,296.3917373165906,572.9457373165906,True,0,,,False
E01011347,Leeds 065B,Leeds,432413.76212008897,434368.66875322326,1934,10303.045196359752,76.013,1,60.45918367346938,2.6213024309353408,6,31.963945800495612,96,1.0,2,265.4881659574661,459.61016595746605,True,0,,,False
E01011348,Leeds 065C,Leeds,432499.0238548192,434024.2297809361,1838,3922.764610709554,51.003,1,48.8235294117647,2.6702573366398736,8,17.074057065112314,1003,7.8359375,15,186.0841216830077,345.30612168300775,True,1,,,False
E01011349,Leeds 065D,Leeds,431809.8699529392,434083.14919718413,1874,6925.9031236161245,46.808,1,58.7027027027027,1.985672690951197,8,29.566288681392205,581,4.5390625,14,262.4861606001312,494.3381606001312,True,0,,,False
E01011350,Leeds 034A,Leeds,430138.3504059024,437241.56563046545,1512,4140.348110766492,5.875,9,16.152716593245227,3.3332587725058413,8,21.90660376066927,380,2.96875,8,159.68361421332077,475.23261421332074,True,0,,,False
E01011351,Leeds 034B,Leeds,430830.93614847143,437354.6806732695,1723,4616.714645355142,9.274,8,22.05071664829107,3.5749254778766524,2,5.3589258796925625,386,12.0625,7,516.085267515797,516.085267515797,False,0,,,False
E01011352,Leeds 034C,Leeds,430492.7963329423,436939.06070010114,1871,6317.469193942159,15.877,6,30.944963655244027,3.0883323759128976,10,33.76520146414837,1661,10.38125,8,78.02909022554825,78.02909022554825,True,1,,,False
E01011353,Leeds 034D,Leeds,431187.8091356001,436795.02572275826,1911,4992.924514279047,3.699,10,13.931523022432112,3.1769389120340916,0,0.0,0,0.0,0,500.607318526918,601.5073185269179,False,0,,,False
E01011354,Leeds 038A,Leeds,429354.580305752,436939.8415492881,1583,6213.354086048431,45.706,1,45.87155963302752,3.0546415937585856,2,7.85009991920206,52,1.625,1,379.1590796501262,1325.258079650126,True,0,,,False
E01011355,Leeds 038B,Leeds,429570.17632986873,436513.7128883809,1464,2503.4291530460014,30.134,3,31.36288998357964,2.604242673172553,7,11.969948136148917,217,1.9375,4,196.9359103202764,1414.1879103202764,True,0,,,False
