LSOA21CD,LSOA21NM,jobs_accessible_30min_bus,jobs_accessible_45min_bus,jobs_accessible_60min_bus
E01011477,Leeds 045A,50145,242660,358910
E01011478,Leeds 056A,88020,245110,372005
E01011479,Leeds 056B,61795,196585,337460
E01011480,Leeds 045B,48695,215210,356885
E01011481,Leeds 056C,111945,263410,397305
E01011482,Leeds 056D,128980,290935,409925
E01011483,Leeds 056E,129830,293585,416115
E01011484,Leeds 033A,2325,32020,148590
E01011485,Leeds 033B,12425,174345,305120
E01011488,Leeds 045C,48400,209260,353410
E01011489,Leeds 045D,21045,128695,283090
E01011491,Leeds 101A,11100,79315,270340
E01011492,Leeds 101B,4625,46565,169475
E01011493,Leeds 101C,7500,71240,247840
E01011494,Leeds 101D,9150,82715,257700
E01011496,Leeds 100A,1100,17525,133810
E01011497,Leeds 101E,6475,65865,246225
E01011500,Leeds 105D,3950,40925,153935
E01011502,Leeds 099C,1600,38975,186810
E01011504,Leeds 032A,6150,84775,209890
E01011505,Leeds 025A,3125,70145,220745
E01011506,Leeds 025B,7770,133045,280670
E01011507,Leeds 025C,16670,180555,326785
E01011508,Leeds 024A,12250,101700,230540
E01011509,Leeds 023A,10525,75145,212090
E01011510,Leeds 025D,5425,65520,221245
E01011511,Leeds 023B,11850,102600,230340
E01011512,Leeds 023C,13545,147570,286120
E01011513,Leeds 031A,2425,5825,64470
E01011514,Leeds 025E,14145,149045,294420
E01011515,Leeds 023D,13445,148720,291920
E01011516,Leeds 023E,12600,114925,277395
E01011517,Leeds 024B,2550,16650,138895
E01011518,Leeds 093A,52625,202015,349585
E01011519,Leeds 095A,3300,21300,114180
E01011520,Leeds 096A,225,4250,35580
E01011521,Leeds 096B,3525,21250,134610
E01011522,Leeds 095B,3300,34200,262995
E01011523,Leeds 096C,1975,17350,80225
E01011524,Leeds 093B,18100,72375,282755
E01011525,Leeds 095C,19750,89175,309035
E01011526,Leeds 093C,9100,68475,266480
E01011527,Leeds 096D,3225,17500,123845
E01011528,Leeds 095D,12325,65525,261935
E01011529,Leeds 096E,3225,16875,71240
E01011530,Leeds 106A,3725,23050,72275
E01011531,Leeds 093D,10500,61275,185730
E01011532,Leeds 095E,18675,84525,289185
E01011533,Leeds 104A,20350,88025,286410
E01011534,Leeds 106B,0,0,0
E01011535,Leeds 108A,3225,21700,99795
E01011536,Leeds 108B,700,13500,45730
E01011537,Leeds 107A,2050,21975,158260
E01011538,Leeds 107B,500,3075,21275
E01011540,Leeds 102B,9600,46490,196195
E01011541,Leeds 104B,15475,54175,174610
E01011545,Leeds 104C,10250,35125,116525
E01011546,Leeds 106C,2825,19850,53835
E01011547,Leeds 104D,16025,53575,174560
E01011548,Leeds 106D,575,6950,50845
E01011549,Leeds 108C,2425,39150,132945
E01011550,Leeds 106E,6125,28200,127070
E01011551,Leeds 107C,2050,21975,158260
E01011552,Leeds 107D,2575,23375,86730
E01011553,Leeds 108D,175,12925,43250
E01011554,Leeds 012A,300,300,300
E01011555,Leeds 018A,2350,10745,104320
E01011556,Leeds 015A,225,6725,59645
E01011557,Leeds 015B,6375,57025,153695
E01011558,Leeds 018B,7400,69695,168370
E01011559,Leeds 018C,3050,14095,137020
E01011560,Leeds 018D,2125,5150,62220
E01011561,Leeds 006A,900,3400,14825
E01011562,Leeds 012B,1100,12775,74995
E01011563,Leeds 012C,150,150,2975
E01011564,Leeds 012D,100,400,2975
E01011565,Leeds 015C,2500,14550,152370
E01011566,Leeds 015D,75,6900,59645
E01011567,Leeds 012E,1375,4600,16520
E01011568,Leeds 015E,225,6900,59645
E01011569,Leeds 004A,1750,1750,4050
E01011570,Leeds 007A,700,700,16975
E01011571,Leeds 004B,1300,2100,8200
E01011572,Leeds 004C,200,700,13600
E01011573,Leeds 004D,650,2250,8200
E01011574,Leeds 004E,4950,10875,18950
E01011576,Leeds 007C,350,350,350
E01011578,Leeds 011D,6550,26175,107675
E01011579,Leeds 014C,7375,26425,112790
E01011580,Leeds 014D,200,200,200
E01011581,Leeds 003A,800,1300,8200
E01011582,Leeds 003B,100,100,100
E01011583,Leeds 003C,450,1300,8200
E01011584,Leeds 003D,300,1500,14300
E01011585,Leeds 062A,6665,15230,71270
E01011586,Leeds 066A,5025,32690,149155
E01011587,Leeds 062B,14755,31905,249590
E01011588,Leeds 039A,225,225,5625
E01011589,Leeds 039B,300,300,300
E01011590,Leeds 039C,0,0,0
E01011591,Leeds 052D,2025,18200,102805
E01011592,Leeds 039D,2015,9490,26280
E01011593,Leeds 039E,2700,19040,105730
E01011594,Leeds 062C,2315,19840,98850
E01011595,Leeds 066B,3750,56380,305330
E01011596,Leeds 062D,9150,29315,195220
E01011597,Leeds 066C,22990,91895,342770
E01011598,Leeds 062E,13805,36380,233715
E01011599,Leeds 066D,8450,60995,349350
E01011600,Leeds 079A,8825,21905,61345
E01011601,Leeds 079B,2600,8050,21405
E01011602,Leeds 076A,8890,18420,89195
E01011603,Leeds 076B,3450,9550,26070
E01011604,Leeds 079C,9750,22145,96345
E01011605,Leeds 076C,1525,9550,26070
E01011606,Leeds 076D,800,10540,70890
E01011607,Leeds 079D,3300,14465,43145
E01011608,Leeds 068A,1100,28690,178145
E01011609,Leeds 068B,15050,101695,275095
E01011610,Leeds 068C,12975,34570,237895
E01011611,Leeds 068D,9025,34270,247095
E01011612,Leeds 079E,10090,34020,202120
E01011613,Leeds 076E,7790,39730,99585
E01011614,Leeds 068E,5800,23805,103645
E01011615,Leeds 070A,70750,272815,377670
E01011616,Leeds 072A,19585,206135,329370
E01011617,Leeds 070B,72210,260085,369155
E01011618,Leeds 070C,135750,301130,393995
E01011620,Leeds 072B,2010,93310,248045
E01011621,Leeds 070D,7000,175900,286100
E01011622,Leeds 072C,16685,176435,327330
E01011623,Leeds 075B,101075,277965,390120
E01011624,Leeds 072D,9500,104225,265640
E01011625,Leeds 075C,9000,179550,286100
E01011626,Leeds 075D,64850,249900,359910
E01011627,Leeds 098A,13875,62100,229635
E01011628,Leeds 098B,14200,102625,255710
E01011629,Leeds 098C,2700,17400,118085
E01011630,Leeds 100B,175,12625,109625
E01011632,Leeds 098D,12775,108175,263435
E01011633,Leeds 098E,2700,14400,98300
E01011634,Leeds 100C,800,17200,123585
E01011635,Leeds 097B,14175,70800,256565
E01011636,Leeds 100D,1000,1000,1000
E01011637,Leeds 097C,3675,20075,127865
E01011638,Leeds 097D,3675,20075,127865
E01011639,Leeds 100E,1700,22025,133910
E01011641,Leeds 032B,5250,112645,238115
E01011642,Leeds 032C,4750,115095,257790
E01011643,Leeds 037A,7895,117145,245415
E01011644,Leeds 037B,7170,41745,218670
E01011645,Leeds 032D,55045,204295,319445
E01011646,Leeds 037C,24320,156970,278265
E01011647,Leeds 037D,77170,245800,333070
E01011648,Leeds 037E,22145,91870,258905
E01011649,Leeds 022B,325,7150,72070
E01011650,Leeds 020A,450,450,450
E01011651,Leeds 020B,1600,16125,116615
E01011652,Leeds 024C,12750,102050,230540
E01011653,Leeds 020C,10175,68070,229615
E01011654,Leeds 024D,3100,19600,169965
E01011655,Leeds 020D,7825,114420,259390
E01011656,Leeds 035A,8420,41870,194195
E01011657,Leeds 035B,2395,9895,92145
E01011658,Leeds 040C,10370,84845,232915
E01011659,Leeds 035C,10370,52520,229355
E01011660,Leeds 040D,7095,41495,171445
E01011661,Leeds 035D,14000,116180,281040
E01011662,Leeds 040E,2400,37945,203020
E01011663,Leeds 050A,6325,42375,218530
E01011664,Leeds 050B,6450,46320,222330
E01011665,Leeds 050C,11550,137435,295995
E01011666,Leeds 061D,9800,136585,295995
E01011667,Leeds 050D,5975,100675,271565
E01011668,Leeds 110E,75170,263415,365410
E01011669,Leeds 110F,75475,249090,354450
E01011670,Leeds 055A,104000,264565,368235
E01011671,Leeds 055B,107275,283090,363435
E01011673,Leeds 064B,105720,279245,364410
E01011677,Leeds 064D,76470,258475,361260
E01011678,Leeds 063B,139655,322885,426340
E01011681,Leeds 063D,133655,282285,388725
E01011684,Leeds 019C,8725,75845,217490
E01011685,Leeds 109A,8550,37245,220665
E01011686,Leeds 033E,5950,19440,139295
E01011687,Leeds 109B,15900,80495,247365
E01011688,Leeds 031B,14570,123335,306020
E01011689,Leeds 031C,2400,6145,104620
E01011690,Leeds 109C,77070,238370,362400
E01011691,Leeds 031D,15920,150185,314570
E01011692,Leeds 109D,7250,78170,222915
E01011693,Leeds 109E,10950,120190,285740
E01011694,Leeds 109F,78670,266670,369635
E01011695,Leeds 019D,6100,33690,143365
E01011696,Leeds 006B,200,200,200
E01011697,Leeds 002A,5000,5000,9350
E01011698,Leeds 001A,220,520,5770
E01011699,Leeds 001B,220,520,5770
E01011700,Leeds 002B,5000,5000,5000
E01011701,Leeds 001C,295,8595,14195
E01011702,Leeds 001D,250,250,550
E01011703,Leeds 001E,75,8395,13995
E01011704,Leeds 002C,3595,8595,13945
E01011705,Leeds 002D,595,8595,14195
E01011706,Leeds 006C,400,400,950
E01011707,Leeds 005A,850,2675,16575
E01011708,Leeds 006D,175,175,175
E01011709,Leeds 005B,1000,1725,10150
E01011710,Leeds 005C,625,2450,16925
E01011711,Leeds 005D,500,500,10150
E01011712,Leeds 005E,500,2450,16925
E01011713,Leeds 006E,250,6120,85670
E01011714,Leeds 029A,4825,14945,62005
E01011715,Leeds 022C,4275,26945,195180
E01011716,Leeds 029B,2670,17545,138420
E01011717,Leeds 029C,6120,15045,110680
E01011718,Leeds 029D,4825,17595,108730
E01011719,Leeds 022D,2250,12925,170770
E01011720,Leeds 029E,6275,48220,224905
E01011721,Leeds 041A,6950,30205,206255
E01011722,Leeds 041B,450,10250,133235
E01011723,Leeds 041C,5975,29220,177980
E01011724,Leeds 041D,9700,47320,238440
E01011725,Leeds 078A,8265,85540,249995
E01011726,Leeds 080A,2000,21225,168065
E01011727,Leeds 080B,750,9490,77995
E01011728,Leeds 080C,175,2425,17980
E01011729,Leeds 078B,22765,154815,299240
E01011730,Leeds 078C,7765,44415,273520
E01011731,Leeds 081B,1325,24325,184670
E01011732,Leeds 081C,52250,164315,321560
E01011733,Leeds 081D,18075,143640,317285
E01011734,Leeds 083A,3000,7975,101305
E01011735,Leeds 078D,2000,21225,170565
E01011736,Leeds 083B,25925,161490,361625
E01011737,Leeds 083C,21000,146515,345015
E01011738,Leeds 083D,1300,21100,137095
E01011739,Leeds 080D,12240,76040,256945
E01032487,Leeds 097F,3675,20075,127865
E01032488,Leeds 097G,14950,65800,225890
E01032489,Leeds 102F,10550,36625,118965
E01032490,Leeds 102G,12225,52015,199565
E01032491,Leeds 102H,9550,33900,109500
E01032492,Leeds 102I,14775,39975,146455
E01032493,Leeds 033F,8600,154345,308395
E01032494,Leeds 033G,4625,59890,220245
E01032496,Leeds 105F,14125,122150,267210
E01032497,Leeds 099E,300,4400,106460
E01032498,Leeds 099F,4150,49240,186700
E01032499,Leeds 067G,15065,159605,363405
E01032500,Leeds 067H,43565,223270,351250
E01032501,Leeds 017E,7925,18725,138945
E01032502,Leeds 017F,7825,21575,140070
E01032503,Leeds 007E,5000,5000,5000
E01032504,Leeds 007F,300,300,4050
E01032606,Leeds 067I,9615,151105,335825
E01032607,Leeds 067J,16490,159365,330840
E01032608,Leeds 067K,44365,223895,351400
E01032876,Leeds 109G,600,8115,80765
E01032946,Leeds 110G,77470,264395,365635
E01033002,Leeds 055F,172950,298175,385110
E01033003,Leeds 055G,162525,308960,384110
E01033008,Leeds 111A,215480,337720,434290
E01033010,Leeds 111B,254255,349890,445665
E01033011,Leeds 111C,246230,365150,462410
E01033013,Leeds 082E,94290,248280,368310
E01033015,Leeds 111D,186025,328170,417965
E01033016,Leeds 111E,227550,333900,418735
E01033021,Leeds 075E,132975,284230,393020
E01033031,Leeds 064E,109525,281145,364710
E01033033,Leeds 075F,210875,341900,416795
E01033034,Leeds 075G,133525,289555,398835
E01033035,Leeds 064F,144345,310785,394160
E01035040,Leeds 044G,33145,174645,317345
E01035041,Leeds 044H,33145,174645,317345
E01035042,Leeds 055I,133695,277095,368635
E01035043,Leeds 055J,181245,305770,389285
E01035044,Leeds 063F,113270,281670,372460
E01035045,Leeds 063G,132655,263760,380085
E01035046,Leeds 082G,171300,312380,395060
E01035047,Leeds 082H,152650,299110,387410
E01035048,Leeds 099G,14085,107325,295190
E01035049,Leeds 099H,7000,85300,209915
E01035050,Leeds 105G,4450,51490,228700
E01035051,Leeds 105H,1925,21325,157610
E01035052,Leeds 105I,2050,21975,158260
E01035053,Leeds 105J,1575,9175,143310
E01035054,Leeds 112F,108225,273920,376635
