LSOA21CD,LSOA21NM,nearest_any_core_bus_network_m,calls_per_active_stop_per_hour_core_06_22,unique_lines_core_06_22,walking_access_percentile,service_frequency_percentile,route_availability_percentile,ptal_inspired_score
E01011449,Leeds 054E,251.983788309237,0,0,51.3347022587269,1.3347022587269,1.3347022587269,18.0013689253936
E01011450,Leeds 038D,212.491043103781,2.5,3,59.958932238193,49.6919917864476,29.2607802874743,46.3039014373717
E01011451,Leeds 110D,394.35041601306,0,0,28.1314168377823,1.3347022587269,1.3347022587269,10.2669404517454
E01011452,Leeds 027A,537.988406546124,2.77083333333333,6,15.8110882956879,53.1827515400411,67.7618069815195,45.5852156057495
E01011453,Leeds 028A,42.1187667517806,2.95,4,96.7145790554415,55.4414784394251,44.2505133470226,65.4688569472964
E01011454,Leeds 027B,154.579660498771,2.15,4,75.7700205338809,39.8357289527721,44.2505133470226,53.2854209445585
E01011455,Leeds 021A,103.02092287082,0.895833333333333,1,87.4743326488706,9.85626283367557,5.74948665297741,34.3600273785079
E01011456,Leeds 021B,464.02865034345,0.69375,2,20.7392197125257,5.74948665297741,14.5790554414784,13.6892539356605
E01011457,Leeds 027C,825.085470118097,2.62946428571429,5,5.54414784394251,51.9507186858316,56.6735112936345,38.0561259411362
E01011458,Leeds 027D,439.857232195879,2.47916666666667,5,23.4086242299795,48.5626283367557,56.6735112936345,42.8815879534565
E01011459,Leeds 021C,87.3176355598834,2.50347222222222,6,89.9383983572895,50.1026694045175,67.7618069815195,69.2676249144422
E01011460,Leeds 028B,150.45981766222,2.27083333333333,6,76.3860369609856,42.4024640657084,67.7618069815195,62.1834360027379
E01011461,Leeds 021D,606.103737109602,0,0,11.4989733059548,1.3347022587269,1.3347022587269,4.72279260780288
E01011462,Leeds 028C,194.365690403972,0.80625,3,63.4496919917865,8.0082135523614,29.2607802874743,33.5728952772074
E01011463,Leeds 028D,240.668868196081,0.966666666666667,3,53.5934291581109,11.088295687885,29.2607802874743,31.3141683778234
E01011464,Leeds 028E,62.8653020157626,2.02884615384615,6,94.2505133470226,36.9609856262834,67.7618069815195,66.3244353182752
E01011465,Leeds 027E,228.668154267601,1.625,8,56.6735112936345,27.0020533880904,80.9034907597536,54.8596851471595
E01011466,Leeds 094A,127.340218003183,3.8375,5,81.7248459958932,70.8418891170431,56.6735112936345,69.7467488021903
