id,opportunity,percentile,cutoff,accessibility
E01011396,jobs,50,45,37695
E01011396,jobs,50,60,125965
E01011397,jobs,50,30,2610
E01011397,jobs,50,45,23435
E01011397,jobs,50,60,34785
E01011398,jobs,50,30,2610
E01011398,jobs,50,45,21410
E01011398,jobs,50,60,31035
E01011399,jobs,50,30,4375
E01011399,jobs,50,45,24535
E01011399,jobs,50,60,41745
E01011400,jobs,50,30,4610
E01011400,jobs,50,45,23435
E01011400,jobs,50,60,34785
E01011401,jobs,50,30,2560
E01011401,jobs,50,45,23435
E01011401,jobs,50,60,34785
E01011402,jobs,50,30,175
E01011402,jobs,50,45,175
E01011402,jobs,50,60,6875
E01011403,jobs,50,30,4760
E01011403,jobs,50,45,24185
E01011403,jobs,50,60,37620
E01011404,jobs,50,30,1310
E01011404,jobs,50,45,21410
E01011404,jobs,50,60,30985
E01011405,jobs,50,30,2510
E01011405,jobs,50,45,24735
E01011405,jobs,50,60,42760
E01011406,jobs,50,30,25025
E01011406,jobs,50,45,50545
E01011406,jobs,50,60,223515
E01011407,jobs,50,30,6750
E01011407,jobs,50,45,34055
E01011407,jobs,50,60,182365
E01011408,jobs,50,30,28560
E01011408,jobs,50,45,138315
E01011408,jobs,50,60,281375
E01011409,jobs,50,30,27850
E01011409,jobs,50,45,138090
E01011409,jobs,50,60,293350
E01011410,jobs,50,30,500
E01011410,jobs,50,45,500
E01011410,jobs,50,60,500
E01011411,jobs,50,30,23185
E01011411,jobs,50,45,36520
E01011411,jobs,50,60,180340
E01011412,jobs,50,30,17300
E01011412,jobs,50,45,28235
E01011412,jobs,50,60,93720
E01011413,jobs,50,30,4785
E01011413,jobs,50,45,102870
E01011413,jobs,50,60,263665
E01011414,jobs,50,30,18425
E01011414,jobs,50,45,36370
E01011414,jobs,50,60,179365
E01011415,jobs,50,30,20035
E01011415,jobs,50,45,181120
E01011415,jobs,50,60,314205
E01011416,jobs,50,30,3000
E01011416,jobs,50,45,44435
E01011416,jobs,50,60,234515
E01011417,jobs,50,30,7160
E01011417,jobs,50,45,99810
E01011417,jobs,50,60,267865
E01011418,jobs,50,30,19375
E01011418,jobs,50,45,36020
E01011418,jobs,50,60,180465
E01011419,jobs,50,30,50
E01011419,jobs,50,45,50
E01011419,jobs,50,60,50
E01011420,jobs,50,30,2250
E01011420,jobs,50,45,2250
E01011420,jobs,50,60,2250
E01011421,jobs,50,30,24145
E01011421,jobs,50,45,156470
E01011421,jobs,50,60,278265
E01011422,jobs,50,30,111870
E01011422,jobs,50,45,268345
E01011422,jobs,50,60,365285
E01011423,jobs,50,30,20220
E01011423,jobs,50,45,87095
E01011423,jobs,50,60,256230
E01011424,jobs,50,30,23145
E01011424,jobs,50,45,156295
E01011424,jobs,50,60,290765
E01011425,jobs,50,30,6820
E01011425,jobs,50,45,82020
E01011425,jobs,50,60,227240
E01011426,jobs,50,30,81120
E01011426,jobs,50,45,255820
E01011426,jobs,50,60,341620
E01011427,jobs,50,30,22570
E01011427,jobs,50,45,156545
E01011427,jobs,50,60,292140
E01011428,jobs,50,30,110395
E01011428,jobs,50,45,260045
E01011428,jobs,50,60,361510
E01011429,jobs,50,30,110270
E01011429,jobs,50,45,259245
E01011429,jobs,50,60,363335
