point_id,lat,lon,snap_lat,snap_lon,distance,found
E01011329,53.8146392242093,-1.63896610313819,53.8148176,-1.6390264,20.2143575459437,TRUE
E01011330,53.8186409637881,-1.64333104494117,53.8186319,-1.6433301,1.00919161071267,TRUE
E01011331,53.81138353931,-1.63131655545974,53.811248,-1.6312935,15.138667524585,TRUE
E01011332,53.8142118168121,-1.61987327998383,53.814413,-1.6198162,22.6695951260658,TRUE
E01011333,53.8115809952309,-1.6473586903251,53.8113616,-1.6474762,25.5722375216389,TRUE
E01011334,53.8081386207449,-1.63434723533139,53.8082079,-1.6343916,8.23126538760506,TRUE
E01011335,53.8087586619879,-1.65992434001354,53.8086935,-1.6598809,7.78251156459454,TRUE
E01011336,53.8096861936551,-1.62775371026958,53.8097503,-1.6277615,7.14264275005224,TRUE
E01011337,53.8086282126346,-1.64072112506912,53.8085512,-1.6407086,8.59801852355173,TRUE
E01011338,53.7993497207244,-1.52213818612991,53.7990942,-1.5222138,28.827225510261,TRUE
E01011339,53.8118016616045,-1.4852844750739,53.8116713,-1.4854987,20.1862014166373,TRUE
E01011340,53.8065173924344,-1.50129720404333,53.806592,-1.5012747,8.42185888305098,TRUE
E01011341,53.8031077357194,-1.47476488706638,53.8032026,-1.4747533,10.569940981096,TRUE
E01011342,53.8075048092766,-1.49466986090067,53.8075062,-1.4943953,18.0184507615392,TRUE
E01011343,53.8083704317858,-1.4726152346113,53.8084427,-1.4723029,22.0135798585561,TRUE
E01011344,53.8075673328107,-1.50749205815679,53.8076024,-1.507437,5.31434485474455,TRUE
E01011345,53.8056167586398,-1.4562509734743,53.8055804,-1.4564821,15.6971101372348,TRUE
E01011346,53.8064606068127,-1.48581154640629,53.8066648,-1.4857314,23.2941569416614,TRUE
E01011347,53.8046062962579,-1.50931142071754,53.8046876,-1.5093254,9.08198365239859,TRUE
E01011348,53.8015472118263,-1.50805511246082,53.8016262,-1.5081336,10.178088541911,TRUE
E01011349,53.8020504910208,-1.51854103851555,53.8020688,-1.5185471,2.07325835387146,TRUE
E01011350,53.8305511370013,-1.54357816371788,53.8307241,-1.5435008,19.8803359272754,TRUE
E01011351,53.831566435287,-1.53307388321063,53.8316624,-1.53311,10.9247394796349,TRUE
E01011352,53.8277937137835,-1.53820318313409,53.8279019,-1.5380739,14.7127016987842,TRUE
E01011353,53.8264691291278,-1.52764031824215,53.8264555,-1.527412,15.0527805431886,TRUE
E01011354,53.8278881556505,-1.55552266662418,53.8278832,-1.5555215,0.55602680692255,TRUE
E01011355,53.8240583431139,-1.55225855183035,53.8242418,-1.5521857,20.9407052516365,TRUE
E01011356,53.8231210453895,-1.53184544820774,53.8231164,-1.5318457,0.516520087831417,TRUE
E01011357,53.8165431436003,-1.5407906437743,53.8163069,-1.5402651,43.3385784020104,TRUE
E01011358,53.8220998347297,-1.54079830547187,53.8218834,-1.5405983,27.3988914860608,TRUE
E01011359,53.8206664427784,-1.52094835305316,53.8206537,-1.5209451,1.43213295333231,TRUE
E01011360,53.8154262247455,-1.53450182551053,53.8153469,-1.5345054,8.81871347278656,TRUE
E01011361,53.8139218845655,-1.52662426954895,53.8136868,-1.5266323,26.1309582932589,TRUE
E01011362,53.7869780165254,-1.57737702153692,53.7877538,-1.5780248,96.1346359920425,TRUE
E01011363,53.7952634018542,-1.56989170907039,53.7954444,-1.5698022,20.9554494176317,TRUE
E01011364,53.7837844636896,-1.54521372521501,53.7837732,-1.5451673,3.29533831534637,TRUE
E01011366,53.7823538585424,-1.56784636845357,53.782361,-1.5680193,11.3829698675473,TRUE
E01011368,53.7815404377815,-1.55769590296883,53.7815616,-1.5576976,2.35445868793229,TRUE
E01011369,53.7767822628232,-1.57570654899147,53.7767712,-1.5757111,1.26525069125598,TRUE
E01011370,53.7765252218266,-1.56419639730547,53.7764855,-1.5641873,4.45464980871568,TRUE
E01011371,53.7790884932157,-1.54567629129694,53.7791029,-1.5455225,10.2253640728944,TRUE
E01011372,53.7770937399676,-1.54781365760235,53.7770842,-1.5477318,5.47927101010627,TRUE
E01011373,53.7781151082176,-1.55306724035651,53.7780386,-1.5528641,15.8194815726247,TRUE
E01011374,53.7778207030971,-1.54097507914025,53.7778721,-1.5410149,6.28205328821867,TRUE
E01011375,53.7746224348192,-1.5537614075461,53.7746251,-1.5537616,0.296459015651461,TRUE
E01011376,53.8651955618558,-1.62445480795251,53.865234,-1.6244452,4.31789964255858,TRUE
E01011377,53.859106728894,-1.61864788511614,53.8591034,-1.6184074,15.7665082682661,TRUE
E01011378,53.8600275627472,-1.60942685547547,53.8602196,-1.6094219,21.3441410431566,TRUE
E01011379,53.8542647807132,-1.60875426786302,53.8541289,-1.6084987,22.5541140160705,TRUE
E01011380,53.8525922580188,-1.58083938287341,53.8526815,-1.5806532,15.7264466510444,TRUE
E01011381,53.8639331883221,-1.59457841795186,53.8639607,-1.5915371,199.338134663927,TRUE
E01011382,53.8540419509315,-1.6258859577501,53.853924,-1.6262482,27.1232594440837,TRUE
E01011383,53.8508150266902,-1.60095466195822,53.8508373,-1.6014263,31.0177144411499,TRUE
E01011384,53.8527704592636,-1.61989822690482,53.852597,-1.6199606,19.7058959998613,TRUE
E01011385,53.8487625232211,-1.57329473883877,53.8487772,-1.5749585,109.087380759148,TRUE
E01011386,53.8513217272813,-1.5899169005859,53.8512518,-1.5900079,9.7968999402899,TRUE
E01011388,53.8455615474189,-1.61396723417578,53.845782,-1.6142252,29.7706044047797,TRUE
E01011390,53.7696001513988,-1.41541488871804,53.7696996,-1.4154124,11.0532269917215,TRUE
E01011391,53.7691217708678,-1.42476041616629,53.7691379,-1.4250466,18.8829872659651,TRUE
E01011392,53.7597883663902,-1.39875086868134,53.7612558,-1.3979985,170.406489385458,TRUE
E01011393,53.7392410878272,-1.40850011483097,53.7392979,-1.4085012,6.3141082620019,TRUE
E01011394,53.7388802571746,-1.38142353778449,53.7388657,-1.381424,1.61806727535314,TRUE
E01011395,53.7292143430838,-1.40028753171596,53.7293483,-1.4002866,14.8871556379615,TRUE
E01011396,53.7974879343429,-1.38942429070262,53.7973633,-1.3896411,19.8590066043237,TRUE
E01011397,53.7935512917283,-1.37234934899059,53.7935859,-1.3726448,19.7727979760974,TRUE
E01011398,53.7955593349809,-1.3664491768846,53.7955165,-1.3665145,6.40687518958973,TRUE
E01011399,53.793476047028,-1.40189891003289,53.7946092,-1.4005459,154.101420187766,TRUE
E01011400,53.7969774288631,-1.37710768302331,53.7969128,-1.3771045,7.18543565376503,TRUE
E01011401,53.7881558290218,-1.37517248832023,53.7881945,-1.3754317,17.5526031999214,TRUE
E01011402,53.7695710702448,-1.43514243832491,53.7689566,-1.435224,68.4977228090879,TRUE
E01011403,53.7905288482316,-1.38141777327469,53.7905113,-1.3811618,16.9175790431115,TRUE
E01011404,53.7854896262616,-1.3649508559703,53.7854414,-1.3664689,99.8164964006841,TRUE
E01011405,53.7852479742506,-1.38273346057577,53.7852752,-1.3828659,9.20716931544057,TRUE
E01011406,53.8118931558566,-1.44952776329265,53.8117507,-1.4490214,36.805109142454,TRUE
E01011407,53.8123185334409,-1.43867807242185,53.8126358,-1.4386826,35.2600257413538,TRUE
E01011408,53.8058551912843,-1.45142741398209,53.8059032,-1.4514275,5.33535402569195,TRUE
E01011409,53.8079846357376,-1.44426523696611,53.8080489,-1.4438792,26.3204594262915,TRUE
E01011410,53.8053986973041,-1.41415061858619,53.8054196,-1.4141488,2.32604252762256,TRUE
E01011411,53.7915832186569,-1.43361491826805,53.7915632,-1.4336309,2.45972003941655,TRUE
E01011412,53.8030543748504,-1.43813332795122,53.8026671,-1.4368725,93.2731358876919,TRUE
E01011413,53.8015602947351,-1.4623234028567,53.8013068,-1.4626164,34.109380565336,TRUE
E01011414,53.7987268606772,-1.45050594349104,53.7984847,-1.4505138,26.9169749509839,TRUE
E01011415,53.7968815762426,-1.47226588675956,53.7969798,-1.4722526,10.9506834257268,TRUE
E01011416,53.7977427857625,-1.45548813794793,53.7974014,-1.4555062,37.9577328442305,TRUE
E01011417,53.7961092344258,-1.46539968351502,53.7959952,-1.4657556,26.5788742071653,TRUE
E01011418,53.7922733789984,-1.43854588053713,53.7925741,-1.4384729,33.7616827450708,TRUE
E01011419,53.7893212957032,-1.44859989702609,53.7887324,-1.4485121,65.6990746312489,TRUE
E01011420,53.7793530780878,-1.4568958894774,53.7794004,-1.4568815,5.3432414635586,TRUE
E01011421,53.8211187221527,-1.49252938170228,53.8211008,-1.4925339,2.01367739410409,TRUE
E01011422,53.8183190867575,-1.51656094190212,53.8183555,-1.5165526,4.08355229273133,TRUE
E01011423,53.8179137263956,-1.49819229986597,53.817778,-1.4981764,15.1197053104926,TRUE
E01011424,53.816324073668,-1.50162533932592,53.8165049,-1.501393,25.2232677588382,TRUE
E01011425,53.8206584936487,-1.48553873175931,53.8209429,-1.4858032,36.0557721442883,TRUE
E01011426,53.8166868167913,-1.52228124762872,53.8167294,-1.5221218,11.4819123007098,TRUE
E01011427,53.8152143624382,-1.50668361101055,53.8152905,-1.5066835,8.46139631788685,TRUE
E01011428,53.8151444829488,-1.51567485060494,53.8151727,-1.5156744,3.13598400123674,TRUE
E01011429,53.8137002775197,-1.52201428389434,53.8135626,-1.5221054,16.4270653300749,TRUE
E01011430,53.8133022023941,-1.51048454090569,53.8132717,-1.5105103,3.78782331139141,TRUE
E01011431,53.8129569225968,-1.50050600428604,53.8129702,-1.500311,12.8800973336285,TRUE
E01011432,53.8119796979081,-1.51076677878061,53.8119275,-1.5107856,5.9309144200712,TRUE
E01011433,53.809006041752,-1.51064087199798,53.8090279,-1.5106437,2.43625033154972,TRUE
E01011434,53.8113806454954,-1.51583313827705,53.8114859,-1.5158338,11.6973260247351,TRUE
E01011435,53.8203098823825,-1.5827943871115,53.8204161,-1.5826175,16.553096243051,TRUE
E01011440,53.8205933205115,-1.5787058238168,53.820663,-1.5786282,9.26807216046039,TRUE
E01011441,53.814058622105,-1.57883558350653,53.8141236,-1.5788124,7.37966436480856,TRUE
E01011442,53.8152417284776,-1.5732099761435,53.8153237,-1.5732696,9.91419794690289,TRUE
E01011443,53.8159263422641,-1.56221942266459,53.8158771,-1.5622223,5.47569423897458,TRUE
E01011444,53.8125363940322,-1.56602359524694,53.8124486,-1.566027,9.75936872327657,TRUE
E01011445,53.8126101389704,-1.56984492115216,53.8127011,-1.5698036,10.4660644864485,TRUE
E01011446,53.8125058866997,-1.57488392361803,53.8126102,-1.5748377,11.9828472179587,TRUE
E01011447,53.8103369485068,-1.57498877539216,53.8102833,-1.5749838,5.97105012238971,TRUE
E01011448,53.8093443793345,-1.56741189184368,53.8092703,-1.5673458,9.30518241581477,TRUE
E01011449,53.8091937808153,-1.57119572020185,53.8091574,-1.5711973,4.04443681256128,TRUE
E01011450,53.8232091416404,-1.5630263899298,53.8234196,-1.5631084,23.9996066047929,TRUE
E01011451,53.8218568994878,-1.57299382194066,53.8218094,-1.5729924,5.27958315647418,TRUE
E01011452,53.8316920768432,-1.65509646005363,53.8320127,-1.6554657,43.0823070473881,TRUE
