LSOA21CD,LSOA21NM,dft_business_raw,dft_overall_raw,ptal_inspired_raw,cumulative_30min_raw,cumulative_45min_raw,cumulative_60min_raw,dft_business_percentile,ptal_inspired_percentile,cumulative_45min_percentile,dft_overall_percentile,cumulative_30min_percentile,cumulative_60min_percentile,gap_dft_minus_ptal,gap_dft_minus_cumulative,gap_ptal_minus_cumulative,three_method_range
E01011283,Leeds 059C,73.12,76,42.984257357974,11900,227765,389980,78.952772073922,39.8357289527721,82.7515400410678,62.9363449691992,61.8069815195072,95.482546201232,39.1170431211499,-3.79876796714578,-42.9158110882957,42.9158110882957
E01011284,Leeds 071A,74.96,81.27,40.3832991101985,11050,150590,299325,90.7597535934292,34.394250513347,72.8952772073922,87.6796714579056,60.3696098562628,71.2525667351129,56.3655030800821,17.864476386037,-38.5010266940452,56.3655030800821
E01011286,Leeds 059D,72.91,77.11,59.4455852156058,14175,216830,388205,77.0020533880904,65.2977412731006,81.3141683778234,69.6098562628337,67.0431211498973,94.8665297741273,11.7043121149897,-4.31211498973306,-16.0164271047228,16.0164271047228
E01011287,Leeds 067B,73.12,74.86,56.6050650239562,11375,69530,282950,78.952772073922,62.217659137577,56.2628336755647,58.2135523613963,60.9856262833676,65.2977412731006,16.735112936345,22.6899383983573,5.95482546201232,22.6899383983573
E01011292,Leeds 071B,74.72,82.22,75.2566735112936,94490,251170,386035,89.7330595482546,86.0369609856263,87.4743326488706,91.170431211499,89.1170431211499,94.4558521560575,3.69609856262834,2.25872689938397,-1.43737166324436,3.69609856262834
E01011293,Leeds 071C,75.36,82.32,83.3333333333333,115825,276995,414925,93.2238193018481,93.7371663244353,93.4291581108829,92.1971252566735,94.6611909650924,98.3572895277207,-0.513347022587269,-0.205338809034899,0.30800821355237,0.513347022587269
E01011294,Leeds 071D,75.04,80.01,71.7659137577002,49500,244645,361580,91.9917864476386,81.3141683778234,84.5995893223819,82.7515400410678,80.082135523614,86.0369609856263,10.6776180698152,7.39219712525667,-3.28542094455852,10.6776180698152
E01011295,Leeds 059E,71.2,74.25,40.5886379192334,4450,45630,276685,64.476386036961,34.9075975359343,49.4866529774127,54.9281314168378,36.4476386036961,63.4496919917865,29.5687885010267,14.9897330595483,-14.5790554414784,29.5687885010267
E01011296,Leeds 030A,52.52,49.22,17.9671457905544,450,450,450,5.74948665297741,7.18685831622177,5.03080082135524,2.6694045174538,10.1642710472279,3.38809034907598,-1.43737166324435,0.718685831622176,2.15605749486653,2.15605749486653
E01011297,Leeds 030B,54.84,49.13,27.3100616016427,0,0,0,6.36550308008214,15.605749486653,0.410677618069815,2.46406570841889,0.513347022587269,0.410677618069815,-9.24024640657084,5.95482546201232,15.1950718685832,15.1950718685832
E01011298,Leeds 088A,64.27,55.31,35.7973990417522,0,0,0,18.0698151950719,26.4887063655031,0.410677618069815,5.13347022587269,0.513347022587269,0.410677618069815,-8.41889117043121,17.6591375770021,26.0780287474333,26.0780287474333
E01011299,Leeds 088B,53.61,56.47,34.4969199178645,600,600,600,5.95482546201232,25.0513347022587,6.36550308008214,5.54414784394251,12.217659137577,4.10677618069815,-19.0965092402464,-0.410677618069816,18.6858316221766,19.0965092402464
E01011300,Leeds 089A,61.28,64.28,69.0280629705681,400,24335,42760,11.9096509240246,77.82340862423,37.9876796714579,14.0657084188912,9.44558521560575,19.1991786447639,-65.9137577002053,-26.0780287474333,39.8357289527721,65.9137577002053
E01011301,Leeds 089B,60.59,65.37,66.3928815879535,2060,25135,47165,10.6776180698152,74.3326488706366,38.8090349075975,17.2484599589322,23.6139630390144,20.5338809034908,-63.6550308008214,-28.1314168377823,35.523613963039,63.6550308008214
E01011302,Leeds 088C,59.2,62.93,38.7405886379192,525,4585,32710,9.85626283367557,31.0061601642711,11.7043121149897,11.4989733059548,11.4989733059548,17.2484599589322,-21.1498973305955,-1.84804928131417,19.3018480492813,21.1498973305955
E01011303,Leeds 088D,59.09,64.68,33.1964407939767,1125,24735,46835,9.65092402464066,23.9219712525667,38.5010266940452,15.4004106776181,17.1457905544148,20.3285420944559,-14.2710472279261,-28.8501026694045,-14.5790554414784,28.8501026694045
E01011304,Leeds 089C,58.28,64.88,68.1724845995893,1400,29360,57065,8.82956878850103,76.5913757700205,41.6837782340862,16.0164271047228,18.8911704312115,21.5605749486653,-67.7618069815195,-32.8542094455852,34.9075975359343,67.7618069815195
E01011305,Leeds 089D,57.24,63.05,63.4839151266256,1150,9360,45440,8.0082135523614,71.5605749486653,18.0698151950719,11.7043121149897,17.6591375770021,19.917864476386,-63.5523613963039,-10.0616016427105,53.4907597535934,63.5523613963039
E01011306,Leeds 089E,56.81,60.37,40.5886379192334,75,75,75,7.39219712525667,34.9075975359343,1.23203285420945,9.24024640657084,1.64271047227926,1.23203285420945,-27.5154004106776,6.16016427104723,33.6755646817249,33.6755646817249
E01011307,Leeds 103A,58.18,64.28,36.5845311430527,400,8450,31305,8.62422997946612,28.1314168377823,16.6324435318275,14.0657084188912,9.44558521560575,17.0431211498973,-19.5071868583162,-8.0082135523614,11.4989733059548,19.5071868583162
